TimeStamp,EventType,User,Client IP,Message
2023-03-13 11:41:23,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:14:24,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:15:59,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:23:11,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:24:42,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-13 12:29:43,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:33:33,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 12:36:11,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 13:07:48,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 13:14:37,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 13:18:03,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 13:21:25,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 13:32:04,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 14:20:44,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-13 14:21:27,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 14:30:23,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 14:35:22,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 14:52:13,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 14:55:50,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 15:04:09,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 15:06:43,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 15:16:10,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 15:41:13,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 15:55:11,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-13 15:55:37,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:31:04,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:32:26,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:35:33,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:40:04,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:45:28,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:48:14,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:55:02,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 16:59:52,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:14:38,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:22:53,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:30:26,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:34:40,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:36:37,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:41:04,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-13 17:41:05,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-13 17:43:26,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
